1-4ring2.dat	Ring  2 x 0.25
1-4ring20.dat	Ring 20 x 0.25
1-4ring23.dat	Ring 23 x 0.25
1-4ring24.dat	Ring 24 x 0.25
1-4ring28.dat	Ring 28 x 0.25
1-4ring3.dat	Ring  3 x 0.25
1-4ring33.dat	Ring 33 x 0.25
1-4ring34.dat	Ring 34 x 0.25
1-4ring38.dat	Ring 38 x 0.25
1-4ring39.dat	Ring 39 x 0.25
1-4ring4.dat	Ring  4 x 0.25
1-4ring40.dat	Ring 40 x 0.25
1-4ring48.dat	Ring 48 x 0.25
1-4ring49.dat	Ring 49 x 0.25
1-4ring5.dat	Ring  5 x 0.25
1-4ring50.dat	Ring 50 x 0.25
1-4ring6.dat	Ring  6 x 0.25
1-4ring7.dat	Ring  7 x 0.25
1-4ring79.dat	Ring 79 x 0.25
1-4ring8.dat	Ring  8 x 0.25
1-4ring9.dat	Ring  9 x 0.25
1-4stud4.dat	Stud Tube Open 0.25
1-4tang.dat	Disc Negative Tangent 0.25
1-8chrd.dat	Chord 0.125
1-8con0.dat	Cone  0 x 0.125
1-8con1.dat	Cone  1 x 0.125
1-8con10.dat	Cone 10 x 0.125
1-8con12.dat	Cone 12 x 0.125
1-8con13.dat	Cone 13 x 0.125
1-8con19.dat	Cone 19 x 0.125
1-8con2.dat	Cone  2 x 0.125
1-8con20.dat	Cone 20 x 0.125
1-8con25.dat	Cone 25 x 0.125
1-8con27.dat	Cone 27 x 0.125
1-8con28.dat	Cone 28 x 0.125
1-8con3.dat	Cone  3 x 0.125
1-8con4.dat	Cone  4 x 0.125
1-8con5.dat	Cone  5 x 0.125
1-8con6.dat	Cone  6 x 0.125
1-8con7.dat	Cone  7 x 0.125
1-8con8.dat	Cone  8 x 0.125
1-8con9.dat	Cone  9 x 0.125
1-8cylh.dat	Cylinder Helical 0.125
1-8cyli.dat	Cylinder 0.125
1-8cylo.dat	Cylinder Open 0.125
1-8cyls.dat	Cylinder Sloped 0.125
1-8cyls2.dat	Cylinder Sloped 0.125 Convex
1-8disc.dat	Disc 0.125
1-8edge.dat	Circle 0.125
1-8edgh.dat	Cylinder Helical Edge 0.125
1-8ering.dat	Adapter Ring Triangles to Normal 0.125
1-8ndis.dat	Disc Negative 0.125
1-8rin10.dat	~Ring 10 x 0.125 (Obsolete)
1-8rin15.dat	~Ring 15 x 0.125 (Obsolete)
1-8rin17.dat	~Ring 17 x 0.125 (Obsolete)
1-8rin18.dat	~Ring 18 x 0.125 (Obsolete)
1-8rin19.dat	~Ring 19 x 0.125 (Obsolete)
1-8rin23.dat	~Ring 23 x 0.125 (Obsolete)
1-8rin39.dat	~Ring 39 x 0.125 (Obsolete)
1-8ring1.dat	Ring  1 x 0.125
1-8ring10.dat	Ring 10 x 0.125
1-8ring11.dat	Ring 11 x 0.125
1-8ring12.dat	Ring 12 x 0.125
1-8ring13.dat	Ring 13 x 0.125
1-8ring15.dat	Ring 15 x 0.125
1-8ring16.dat	Ring 16 x 0.125
1-8ring17.dat	Ring 17 x 0.125
1-8ring18.dat	Ring 18 x 0.125
1-8ring19.dat	Ring 19 x 0.125
1-8ring2.dat	Ring  2 x 0.125
1-8ring23.dat	Ring 23 x 0.125
1-8ring27.dat	Ring 27 x 0.125
1-8ring3.dat	Ring  3 x 0.125
1-8ring32.dat	Ring 32 x 0.125
1-8ring33.dat	Ring 33 x 0.125
1-8ring35.dat	Ring 35 x 0.125
1-8ring39.dat	Ring 39 x 0.125
1-8ring4.dat	Ring  4 x 0.125
1-8ring5.dat	Ring  5 x 0.125
1-8ring6.dat	Ring  6 x 0.125
1-8ring7.dat	Ring  7 x 0.125
1-8ring8.dat	Ring  8 x 0.125
1-8ring9.dat	Ring  9 x 0.125
1-8sphc.dat	Sphere 0.175 x  1.1414 Cut Off
1-8sphe.dat	Sphere 0.125
1-8stud4.dat	Stud Tube Open 0.125
1-8tang.dat	Disc Negative Tangent 0.125
1-8tndis.dat	Disc Negative Truncated 0.125
1-8tric.dat	Tri-Cylinder Intersection 0.125
1.dat	Container Bookcase  2 x  4 x  4
10.dat	Baseplate 24 x 32 with Rounded Corners
100.dat	Slope Brick 45  2 x  1 Inverted without Inner Stopper Ring
10039.dat	Motor Pull Back  4 x  8 x  0.667 with White Axle
10040.dat	~Motor Pull Back  8 x  4 x  0.667 - Top
10040c01.dat	Motor Pull Back  8 x  4 x  0.667 Base
10041.dat	~Motor Pull Back  8 x  4 x  0.667 - Bottom
10042.dat	~Motor Pull Back  8 x  4 x  0.667 - Axle
10048.dat	Minifig Hair Tousled
10049.dat	Minifig Shield Broad with Spiked Bottom and Cutout Corner
10049p01.dat	Minifig Shield Broad with Spiked Bottom, Cutout Corner with White Handprint Pattern
10050.dat	Minifig Sword Uruk-Hai
10051.dat	Minifig Helmet Castle Uruk-Hai with Lateral Comb
10051p01.dat	Minifig Helmet Castle Uruk-Hai with Lateral Comb & Hand Pattern
10052.dat	Minifig Beard with Rounded End
10053.dat	Minifig Sword Small with Curved Blade
10054.dat	Minifig Helmet Castle Rohan with Cheek Protection & Comb
10054p01.dat	Minifig Helmet Castle Rohan with Cheek Protection & Comb with Eomer Pattern
10054p02.dat	Minifig Helmet Castle Rohan with Cheek Protection & Comb with Théoden Pattern
10055.dat	Minifig Hair Long Straight with Three Braids and Elves Ears
10055p01.dat	Minifig Hair Long Straight with Three Braids and Light Nougat Elves Ears Pattern
10057.dat	Minifig Gollum
10057pm0.dat	Minifig Gollum with Wide Eyes and Open Mouth Pattern
10057pm1.dat	Minifig Gollum with Narrow Eyes and Half-open Mouth Pattern
10058.dat	Minifig Arm Wiry Bent with Clip
1006030.dat	Figure Friends Girl Torso Dual Mould without Pattern
1006030p01.dat	Figure Friends Girl Torso with Dark Turquoise Jacket with Tan Triangles over Dark Blue Shirt Pattern
1006030p02.dat	Figure Friends Girl with Bright Light Yellow Tank Top over Medium Lavender Sleeveless Shirt, Black and Coral Panels and Music Note Necklace Pattern
1006030p04.dat	Figure Friends Girl with Coral and Bright Light Orange Shirt, Dark Blue Trim and White Flower Pattern
1006334.dat	Figure Friends Boy Torso Dual Mould without Pattern
1006334p01.dat	Figure Friends Boy Torso with Coral and Dark Azure Hoodie with Coral and Yellow Squares Pattern
1006334p02.dat	Figure Friends Boy Torso with Sand Blue Jacket with Tan Lapels over Blue and White Shirt Pattern
10066.dat	Minifig Hair Orc with Ears
100662.dat	Minifig Baby Head with Space Helmet and Air Tanks
100662p01.dat	Minifig Baby Head with Space Helmet and Air Tanks and Yellow Face with Eyes and Smile Pattern
10066p01.dat	Minifig Hair Orc with Dark Tan Ears Pattern
10066p02.dat	Minifig Hair Orc with Medium Nougat Ears Pattern
10066p03.dat	Minifig Hair Orc with Olive Green Ears Pattern
100811.dat	Figure Friends Girl Torso with Left Limb Reduction
100811p01.dat	Figure Friends Girl Torso with Left Limb Reduction with Dark Turquoise Jacket with Tan Triangles over Dark Blue Shirt Pattern
10089.dat	~Electric Power Functions Large Motor Case Back
10089c01.dat	Electric Power Functions Large Motor Case
10090.dat	~Electric Power Functions Large Motor Case Front
100907.dat	Minifig Hair Female Curled Fringe and Bun, Hole on Top with Molded Band and Earrings
